# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
     216 -0.11697401E+02 -0.83052145E+01  0.33921861E+01  0.34281905E+01
     217 -0.11697985E+02 -0.83053453E+01  0.33926400E+01  0.34281905E+01
     218 -0.11698554E+02 -0.83054846E+01  0.33930697E+01  0.34281905E+01
     219 -0.11699280E+02 -0.83056470E+01  0.33936332E+01  0.34281905E+01
     220 -0.11699898E+02 -0.83057697E+01  0.33941286E+01  0.34281905E+01
     221 -0.11700686E+02 -0.83059224E+01  0.33947632E+01  0.34281905E+01
     222 -0.11701179E+02 -0.83060238E+01  0.33951549E+01  0.34281905E+01
     223 -0.11701841E+02 -0.83061390E+01  0.33957018E+01  0.34281905E+01
     224 -0.11702382E+02 -0.83062609E+01  0.33961207E+01  0.34281905E+01
     225 -0.11702844E+02 -0.83063548E+01  0.33964895E+01  0.34281905E+01
     226 -0.11703327E+02 -0.83064546E+01  0.33968721E+01  0.34281905E+01
     227 -0.11703786E+02 -0.83065490E+01  0.33972373E+01  0.34281905E+01
     228 -0.11704305E+02 -0.83066635E+01  0.33976416E+01  0.34281905E+01
     229 -0.11704568E+02 -0.83067305E+01  0.33978375E+01  0.34281905E+01
     230 -0.11705356E+02 -0.83069003E+01  0.33984559E+01  0.34281905E+01
     231 -0.11705734E+02 -0.83069749E+01  0.33987589E+01  0.34281905E+01
     232 -0.11706296E+02 -0.83070991E+01  0.33991971E+01  0.34281905E+01
     233 -0.11706812E+02 -0.83072104E+01  0.33996019E+01  0.34281905E+01
     234 -0.11707252E+02 -0.83072995E+01  0.33999522E+01  0.34281905E+01
     235 -0.11707652E+02 -0.83074059E+01  0.34002465E+01  0.34281905E+01
     236 -0.11707943E+02 -0.83074727E+01  0.34004706E+01  0.34281905E+01
     237 -0.11708385E+02 -0.83075549E+01  0.34008303E+01  0.34281905E+01
     238 -0.11708747E+02 -0.83076504E+01  0.34010971E+01  0.34281905E+01
     239 -0.11709144E+02 -0.83077444E+01  0.34013996E+01  0.34281905E+01
     240 -0.11709540E+02 -0.83078236E+01  0.34017163E+01  0.34281905E+01
     241 -0.11709902E+02 -0.83079240E+01  0.34019778E+01  0.34281905E+01
     242 -0.11710502E+02 -0.83080387E+01  0.34024631E+01  0.34281905E+01
     243 -0.11710864E+02 -0.83081149E+01  0.34027489E+01  0.34281905E+01
     244 -0.11711165E+02 -0.83081884E+01  0.34029765E+01  0.34281905E+01
     245 -0.11711502E+02 -0.83082577E+01  0.34032440E+01  0.34281905E+01
     246 -0.11711790E+02 -0.83083231E+01  0.34034670E+01  0.34281905E+01
     247 -0.11712129E+02 -0.83083980E+01  0.34037313E+01  0.34281905E+01
     248 -0.11712447E+02 -0.83084774E+01  0.34039691E+01  0.34281905E+01
     249 -0.11712667E+02 -0.83085392E+01  0.34041282E+01  0.34281905E+01
     250 -0.11713047E+02 -0.83086351E+01  0.34044117E+01  0.34281905E+01
     251 -0.11713400E+02 -0.83087492E+01  0.34046509E+01  0.34281905E+01
     252 -0.11713697E+02 -0.83088421E+01  0.34048552E+01  0.34281905E+01
     253 -0.11714032E+02 -0.83089487E+01  0.34050831E+01  0.34281905E+01
